Model,Horizon,RMSE,MAE,Accuracy,R2,VAR
T-GCN,1 day(s),0.7095159888267517,0.4612322747707367,0.2857753038406372,0.48988497257232666,0.49008268117904663
T-GCN,2 day(s),0.7143616676330566,0.4637126922607422,0.28122884035110474,0.48336559534072876,0.48360639810562134
T-GCN,3 day(s),0.7177882790565491,0.46549922227859497,0.2780197858810425,0.47873473167419434,0.47901684045791626
T-GCN,4 day(s),0.7196991443634033,0.4664573669433594,0.27626144886016846,0.47620004415512085,0.47654473781585693
DTC-STGCN-FD,1 day(s),0.9964008331298828,0.7392785549163818,-0.0030122995376586914,-0.006032347679138184,-0.0037336349487304688
DTC-STGCN-FD,2 day(s),0.9969325661659241,0.7396067380905151,-0.003088235855102539,-0.0061866044998168945,-0.003963351249694824
DTC-STGCN-FD,3 day(s),0.9973278641700745,0.7397440075874329,-0.0031548738479614258,-0.006333589553833008,-0.004187583923339844
DTC-STGCN-FD,4 day(s),0.9975724220275879,0.7397236824035645,-0.003178119659423828,-0.006357550621032715,-0.004253506660461426
DTC-STGCN-FR,1 day(s),0.9966294169425964,0.7396262288093567,-0.00324404239654541,-0.006493926048278809,-0.0042209625244140625
DTC-STGCN-FR,2 day(s),0.9969663619995117,0.7397388815879822,-0.003123044967651367,-0.006254792213439941,-0.004010438919067383
DTC-STGCN-FR,3 day(s),0.9973136186599731,0.739890456199646,-0.003143310546875,-0.0063048601150512695,-0.0042046308517456055
DTC-STGCN-FR,4 day(s),0.9975130558013916,0.7397196292877197,-0.0031145811080932617,-0.00623774528503418,-0.004183292388916016
HA,1 day(s),0.6091321110725403,0.3658205270767212,0.3417086601257324,0.5646871328353882,0.5647101402282715
HA,2 day(s),0.6084752678871155,0.3653562664985657,0.3427121043205261,0.5660622119903564,0.5660778284072876
HA,3 day(s),0.6077337861061096,0.3647668957710266,0.34370559453964233,0.5674293041229248,0.567438006401062
HA,4 day(s),0.6069807410240173,0.3641318380832672,0.34466540813446045,0.5687176585197449,0.5687239170074463
SVR,1 day(s),0.9255630763087731,0.7062107864544166,-0.0002637937710774363,-0.00505656475672267,-0.000714542339786961
SVR,2 day(s),0.9259740547758042,0.7064513250770699,-0.000264879645659688,-0.004937968168611695,-0.0007114413733035896
SVR,3 day(s),0.9262442349001575,0.7065072519217939,-0.00027063462930865256,-0.004804151399559808,-0.0007081592241322543
SVR,4 day(s),0.9264487304247151,0.7064503797650846,-0.00027520583077111915,-0.004742254158375925,-0.0007065233191025921
GRU,1 day(s),0.5894486308097839,0.3701040744781494,0.40663957595825195,0.647924542427063,0.6479969024658203
GRU,2 day(s),0.5909517407417297,0.3702075779438019,0.40540051460266113,0.6464499235153198,0.6465039253234863
GRU,3 day(s),0.5913731455802917,0.3691287338733673,0.4051738977432251,0.646174430847168,0.6462116241455078
GRU,4 day(s),0.5912583470344543,0.36753493547439575,0.4054240584373474,0.646476686000824,0.6465052366256714
